Gene,Transcript
ASH1L,NM_018489.3
ASH2L,NM_004674.5
ASIC3,NM_004769.4
ASIC4,NM_018674.6
ASIC5,NM_017419.3
ASIP,NM_001672.3
ASL,NM_000048.4
ASMT,NM_001171038.2
ASNS,NM_001673.5
ASNSD1,NM_019048.4
ASPA,NM_000049.4
ASPG,NM_001080464.3
ASPH,NM_004318.4
ASPHD2,NM_020437.5
ASPM,NM_018136.5
ASPN,NM_017680.6
ASPRV1,NM_152792.4
ASPSCR1,NM_024083.4
ASRGL1,NM_001083926.2
ASS1,NM_054012.4
ASTE1,NM_014065.4
ASTL,NM_001002036.4
ASTN1,NM_004319.3
ASTN2,NM_001365068.1
ASXL1,NM_015338.6
ASXL2,NM_018263.6
ASXL3,NM_030632.3
ASZ1,NM_130768.3
ATAD2,NM_014109.4
ATAD2B,NM_017552.4
ATAD3A,NM_001170535.3
ATAD3B,NM_031921.6
ATAD3C,NM_001039211.3
ATAD5,NM_024857.5
ATCAY,NM_033064.5
ATF4,NM_182810.3
ATF6,NM_007348.4
ATF6B,NM_004381.5
ATF7IP,NM_018179.5
ATF7IP2,NM_001393719.1
ATG10,NM_031482.5
ATG14,NM_014924.5
ATG16L1,NM_030803.7
ATG16L2,NM_033388.2
ATG2A,NM_015104.3
ATG2B,NM_018036.7
ATG4A,NM_052936.5
ATG4D,NM_032885.6
ATG5,NM_004849.4
ATG7,NM_001349232.2
ATG9A,NM_001077198.3
ATG9B,NM_001317056.2
ATIC,NM_004044.7
ATL1,NM_015915.5
ATL2,NM_001135673.4
ATL3,NM_015459.5
ATM,NM_000051.4
ATMIN,NM_015251.3
ATN1,NM_001940.4
ATOH1,NM_005172.2
ATOH7,NM_145178.4
ATOH8,NM_032827.7
ATOSA,NM_001385016.1
ATOSB,NM_025182.4
ATP10A,NM_024490.4
ATP10B,NM_025153.3
ATP10D,NM_020453.4
ATP11A,NM_015205.3
ATP11B,NM_014616.3
ATP11C,NM_001353812.2
ATP13A1,NM_020410.3
ATP13A2,NM_022089.4
ATP13A3,NM_001367549.1
ATP13A4,NM_032279.4
ATP13A5,NM_198505.4
ATP1A1,NM_000701.8
ATP1A2,NM_000702.4
ATP1A3,NM_152296.5
