,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
73,"('H', 'P')",280,15,45,0.002038587550054605,0.001687858669967368,0.0039008321775312067,0.8279549582857786,1.9134974985139688,0.703958481936801,0.8314470259096075,False,3.3929871474188087e-07,8.07854082718764e-07,True
74,"('R', 'M')",73,5,4,0.000531488896978522,0.0005626195566557894,0.00034674063800277393,1.0585725494064748,0.6523948853380959,0.9751578719917577,1.0,False,0.6126204990778223,0.6658918468237199,False
75,"('G', 'D')",1774,84,173,0.012915908263560247,0.009452008551817262,0.014996532593619973,0.7318113723743523,1.1610900517100922,0.019488062767431102,0.04640014944626453,False,0.0018388445040982198,0.003207286925752709,True
76,"('R', 'I')",70,5,5,0.0005096468875136512,0.0005626195566557894,0.00043342579750346743,1.1039399443810383,0.8504433326728751,0.9020817436243592,0.9876807411945538,False,1.0,1.0,False
77,"('S', 'C')",582,30,21,0.004237349836184929,0.003375717339934736,0.0018203883495145632,0.7966576918213677,0.42960539485536986,0.3966495872745931,0.526526000806982,False,0.00024629358085473375,0.0004618004641026258,True
78,"('N', 'S')",2576,49,121,0.018755005460502367,0.005513671655226736,0.010488904299583912,0.29398400692755905,0.5592589307250971,5.10982732434998e-19,9.580926233156212e-18,True,6.044237204212184e-09,1.8888241263163072e-08,True
79,"('P', 'S')",2405,74,77,0.017510010921004734,0.008326769438505683,0.006674757281553398,0.47554336065644714,0.3811966372645984,6.758225848413131e-10,7.240956266156926e-09,True,5.526332523684701e-17,3.604129906750892e-16,True
80,"('C', 'F')",459,21,95,0.0033418274481252274,0.0023630021379543154,0.00823509015256588,0.7070987879041944,2.464247565261272,0.2106202525194128,0.33609614763736084,False,7.180272841019159e-25,5.668636453436178e-24,True
81,"('P', 'R')",830,68,78,0.006042955951947579,0.007651625970518735,0.006761442441054091,1.2662058157237932,1.1188965292515416,0.01307622760197223,0.03324464644569211,False,0.08681810833303305,0.11627425223174069,False
82,"('G', 'E')",1444,56,154,0.010513287222424464,0.0063013390345448405,0.013349514563106795,0.5993690556750234,1.2697755022456496,0.0005345914906073995,0.0018224709907070436,True,4.0803422591101146e-05,8.160684518220229e-05,True
83,"('D', 'A')",238,10,25,0.0017327994175464143,0.0011252391133115788,0.002167128987517337,0.6493764378711989,1.2506519598130514,0.2817089634697193,0.4142778874554695,False,0.14172890405796354,0.18036361596674633,False
84,"('R', 'G')",1301,109,151,0.00947215143793229,0.012265106335096207,0.013089459084604715,1.2948596119334852,1.3818887050503135,0.000618842574065144,0.002062808580217147,True,2.430018801307518e-07,5.975456068788978e-07,True
85,"('Q', 'R')",1224,55,220,0.008911539861667274,0.006188815123213683,0.019070735090152564,0.6944720238344766,2.140004464568999,0.0231016394613414,0.053311475680018615,False,1.0527192123708385e-40,1.2146760142740444e-39,True
86,"('R', 'W')",2363,403,221,0.01720422278849654,0.045347136266456624,0.019157420249653258,2.6358142895462624,1.1135301190393039,3.00048638540671e-111,1.5002431927033549e-109,True,0.003994731865733985,0.00658472285560547,True
87,"('K', 'R')",1280,25,94,0.009319257371678194,0.002813097783278947,0.008148404993065187,0.3018585785416901,0.8743620514042996,7.98311928859536e-10,7.98311928859536e-09,True,0.6188209756057945,0.6677924197184834,False
