pair_id,Gene,DMS_dataset,CBGE_dataset,model_short,platform,fold,raw_calm_weight,training_sd_plm,training_sd_calm,standardized_equivalent_calm_weight
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,DMS,5,0.0,2.7389774498614528,2.414719848865965,0.0
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,CBGE,1,0.59,2.5911912373889274,2.458745118188675,0.5772510529486327
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,CBGE,2,0.81,3.0412932451660786,2.6437290348660616,0.7874993962777044
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,CBGE,3,1.0,3.029549449029473,2.4835149876721583,1.0
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,CBGE,4,0.65,2.8711058500293585,2.5500328485982977,0.6225646494165655
GRB2|dataset0654|dataset0650,GRB2,dataset0654,dataset0650,150M,CBGE,5,1.0,2.7389774498614528,2.414719848865965,1.0
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,150M,DMS,1,0.0,2.688219889729548,1.1905428390064667,0.0
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,150M,DMS,2,0.375,2.684785308917451,1.4954976152614694,0.25049624735176607
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,150M,DMS,3,0.19,2.5863689350081245,1.598140440799491,0.12659300626122838
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,150M,CBGE,1,0.0,2.688219889729548,1.1905428390064667,0.0
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,150M,CBGE,2,0.0,2.684785308917451,1.4954976152614694,0.0
ETS1|dataset0541|dataset0539,ETS1,dataset0541,dataset0539,150M,CBGE,3,0.06,2.5863689350081245,1.598140440799491,0.03794442899279984
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,DMS,1,0.175,2.6905517147206197,2.534516746910145,0.1665413176625775
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,DMS,2,0.0,2.9271270863369705,2.5791368426967534,0.0
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,DMS,3,0.0,2.8259933713520144,2.5259413816680167,0.0
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,DMS,4,0.205,2.899698567852929,2.6552520388746474,0.19101949242152091
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,DMS,5,0.205,2.985778928987659,2.6635904550171996,0.1870159188359354
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,DMS,6,0.205,2.940660254092773,2.6158372543884743,0.18658082439645812
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,CBGE,1,1.0,2.6905517147206197,2.534516746910145,1.0
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,CBGE,2,0.655,2.9271270863369705,2.5791368426967534,0.6258664473355184
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,CBGE,3,0.655,2.8259933713520144,2.5259413816680167,0.6292136157415041
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,CBGE,4,0.655,2.899698567852929,2.6552520388746474,0.6348368065307997
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,CBGE,5,0.635,2.985778928987659,2.6635904550171996,0.6081498913251723
GRB2|dataset0654|dataset0652,GRB2,dataset0654,dataset0652,150M,CBGE,6,0.47,2.940660254092773,2.6158372543884743,0.44097790549194166
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,1,0.0,1.7838788467344515,1.4238380146063032,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,2,0.0,2.3466858278519585,2.090435309260731,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,3,0.285,2.2680403833935574,2.122131088369252,0.27164574396955504
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,4,0.0,2.222528684207757,2.109107143946624,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,5,0.0,2.3621803736918823,2.130747466846176,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,6,0.0,2.2556658217041545,2.0589040008345685,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,DMS,7,0.0,2.1818594755024487,1.9378276116255595,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,1,0.0,1.7838788467344515,1.4238380146063032,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,2,0.25,2.3466858278519585,2.090435309260731,0.22895098399347907
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,3,0.0,2.2680403833935574,2.122131088369252,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,4,0.0,2.222528684207757,2.109107143946624,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,5,0.015,2.3621803736918823,2.130747466846176,0.01355029960352038
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,6,0.0,2.2556658217041545,2.0589040008345685,0.0
PTEN|dataset1476|dataset1481,PTEN,dataset1476,dataset1481,150M,CBGE,7,0.0,2.1818594755024487,1.9378276116255595,0.0
LCP1|dataset0920|dataset0918,LCP1,dataset0920,dataset0918,150M,DMS,1,0.0,1.8511144848182006,2.135916755877385,0.0
LCP1|dataset0920|dataset0918,LCP1,dataset0920,dataset0918,150M,DMS,2,0.145,1.4024174201560253,1.476095780675996,0.15146399383471196
LCP1|dataset0920|dataset0918,LCP1,dataset0920,dataset0918,150M,CBGE,1,0.0,1.8511144848182006,2.135916755877385,0.0
LCP1|dataset0920|dataset0918,LCP1,dataset0920,dataset0918,150M,CBGE,2,0.94,1.4024174201560253,1.476095780675996,0.9428236256715194
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,DMS,1,0.095,3.295095283446702,2.4866368508882966,0.07340245089018833
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,DMS,2,0.46,3.0928140961829427,2.4819381397688702,0.40603421810994833
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,DMS,3,0.46,3.057521455563344,2.509114030833523,0.4114395479513235
VAV1|dataset2065|dataset2064,VAV1,dataset2065,dataset2064,150M,DMS,4,0.19,3.0127114388549696,2.415865380320503,0.158318466593774
