gene,model,mean_raw_calm_weight,sd_raw_calm_weight,mean_standardized_equivalent_calm_weight,sd_standardized_equivalent_calm_weight
HBB,ESM-2 650M + CaLM,0.462,0.14498275759551543,0.38968571725648715,0.1456181844473167
HCN1,ESM-1b 650M + CaLM,0.362,0.0641872261435248,0.19840919308139693,0.04949510958998032
HCN1,ESM-2 650M + CaLM,0.176,0.03507135583350036,0.1306043107967282,0.024077233278652254
HCN2,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
HCN2,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
HDAC8,ESM-1b 650M + CaLM,0.438,0.3100322563863315,0.38088783267055987,0.2826031487208176
HDAC8,ESM-2 650M + CaLM,0.27,0.10700467279516349,0.28257450642877285,0.12204614143320165
HEXB,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
HEXB,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
HGD,ESM-1b 650M + CaLM,0.53,0.3912160528403711,0.5220262257992673,0.38618506869694674
HGD,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
HGSNAT,ESM-1b 650M + CaLM,0.10800000000000001,0.0985900603509299,0.05684932207490356,0.05207745881800702
HGSNAT,ESM-2 650M + CaLM,0.28200000000000003,0.17049926686059386,0.1987040936568294,0.11908600316346185
HLCS,ESM-1b 650M + CaLM,0.0,0.0,0.0,0.0
HLCS,ESM-2 650M + CaLM,0.0,0.0,0.0,0.0
HNF1A,ESM-1b 650M + CaLM,0.142,0.21076052761368766,0.0926049217781876,0.14242162561570434
